行号,厂家,原始产品描述,原始型号/规格,提取候选型号,未匹配原因,后续手动匹配slug
6,上海东风,实心焊丝SH ER50-6,,SHER506 / R506,产品库未找到精确型号,
11,上海东风,埋弧焊丝SH H08MnA,,SHH08MNA / H08MNA,产品库未找到精确型号,
28,上海东风,埋弧焊丝SH H10Mn2,,SHH10MN2 / H10MN2,产品库未找到精确型号,
58,金桥,热强钢气保护药芯焊丝,JQYR91B3L,JQYR91B3L / R91B3L,产品库未找到精确型号,
71,金桥,热强钢气保护药芯焊丝,JQYR81B2VФ1.2,JQYR81B2V / R81B2V,产品库未找到精确型号,
75,上海东风,埋弧焊丝SH H08A,,SHH08A / H08A,产品库未找到精确型号,
84,金桥,热强钢气保护药芯焊丝,JQYR81B2,JQYR81B2 / R81B2,产品库未找到精确型号,
86,大西洋,焊剂,CHF431,CHF431,产品库未找到精确型号,
121,天泰,不锈钢气保焊丝 MIG-316LMn,,MIG316LMN,产品库未找到精确型号,
122,天泰,不锈钢用手焊条 TS-316L,4.0*350,40350 / TS316L,产品库未找到精确型号,
129,天泰,不锈钢氩弧焊丝 TGS-316LMn,,TGS316LMN,产品库未找到精确型号,
150,金桥,结构钢气保护药芯焊丝,JQYJ501-1LJG,JQYJ5011LJG / J5011LJG,产品库未找到精确型号,
154,天泰,不锈钢用手焊条 TS-316L,3.2*350,32350 / TS316L,产品库未找到精确型号,
172,金桥,铝及铝合金气保焊丝,JQ.SA14047Ф1.2,JQSA14047 / A14047,产品库未找到精确型号,
193,大西洋,焊剂,CHF431R,CHF431R,产品库未找到精确型号,
202,金桥,承压设备用碳钢埋弧焊丝,JQH10MnSi,JQH10MNSI / H10MNSI,产品库未找到精确型号,
236,金桥,承压设备用不锈钢气保护实心焊丝,JQMG316LSi,JQMG316LSI / G316LSI,产品库未找到精确型号,
238,金桥,承压设备用不锈钢实心填充丝,JQTG308LSi,JQTG308LSI / G308LSI,产品库未找到精确型号,
244,天泰,不锈钢用手焊条 TS-309L,3.2*350,32350 / TS309L,产品库未找到精确型号,
245,天泰,不锈钢用手焊条 TS-316L,2.6*300,26300 / TS316L,产品库未找到精确型号,
246,天泰,不锈钢用手焊条 TS-316L,5.0*350,50350 / TS316L,产品库未找到精确型号,
257,金桥,铝及铝合金氩弧焊丝,JQSAI5356Ф1.6,JQSAI5356,产品库未找到精确型号,
